id,대분류,목적,방법,맥락,기술,결론,제목,출처,발행일,url,표,근거
"65","제품·서비스 기획","성장","MVP, 운영 개선","커뮤니티, 로컬","","온라인 모임 실험에서 출발한 당근 카페를 MVP부터 전국 오픈까지 키웠다","당근은 왜 오프라인이 아닌 온라인 카페를 열었을까?","당근","2026-07-14","https://careers.daangn.com/blog/post/behind-cafe-team-relay/","제품·서비스 기획 3","그렇게 2025년 7월, 꼭 필요한 기능만 담은 첫 번째 MVP를 선보였어요."
"66","AI 활용","품질","디자인 시스템, 바이브코딩","사내 업무","LLM","AI 시대의 디자인 시스템은 AI가 소비하고 검증할 수 있는 구조여야 한다","Figma Config 2026 현장에 다녀온 강남언니 디자이너의 인사이트","강남언니","2026-07-13","https://blog.gangnamunni.com/post/config2026","AI 활용 3","디자인 시스템의 진짜 산출물은 AI가 소비하고 검증할 수 있는 구조여야 한다는 것."
"67","AI 활용","효율화","해커톤, 업무 자동화","사내 업무","LLM, 에이전트","AI는 계획과 구현에 강했지만 불확실성 속의 전략은 사람의 몫으로 남았다","[AI 해커톤 후기] AI 시대의 해커톤과 인간의 역할: AI의 계획과 사람의 전략","네이버 D2","2026-07-13","https://d2.naver.com/helloworld/1883072","AI 활용 3","AI 시대의 협업은 사람이 AI로 대체되는 그림이 아니라, 사람이 전략을 쥐고 AI에게 계획과 실행을 위임하는 그림에 가깝습니다."
"68","사업·브랜드","신뢰","리브랜딩, 디자인 시스템","사내 업무, 채용","","계속 성장하는 디자인 시스템 SEED에도 고유한 브랜드가 필요했다","디자인 시스템에도 브랜딩이 필요할까","당근","2026-07-12","https://seed-design.io/updates/why-design-system-needs-branding","사업·브랜드 3","결국 계속 변화하며 성장하는 시스템일수록 이름과 얼굴이 있어야 그 변화를 하나로 묶어낼 수 있고, 디자인 시스템이 브랜드가 되는 이유도 여기에 있습니다."
"71","AI 활용","품질","바이브코딩, 후보:컨텍스트 엔지니어링","사내 업무","LLM","AI가 가이드를 무시하는 이유는 LLM의 읽는 방식에 있으며, 관련 정보만 구조화해 넣는 컨텍스트 엔지니어링이 답이다","AI가 내 프롬프트를 흘려듣는 이유: 원리부터 다시 본 컨텍스트 엔지니어링","배달의민족","2026-07-07","https://techblog.woowahan.com/26459/","AI 활용 3","원리를 알고 나니, 업계가 왜 프롬프트 엔지니어링에서 컨텍스트 엔지니어링으로 무게중심을 옮겼는지 이해됐습니다."
"73","AI 활용","품질","AI 평가, 해커톤","사내 업무","LLM","구체적인 루브릭이 있으면 코드와 문서만 읽은 LLM 평가도 사람 판단에 가까워진다","[AI 해커톤 후기] 코드와 문서만 읽은 LLM은 어떻게 사람과 같은 팀을 1위로 골랐을까","네이버 D2","2026-07-06","https://d2.naver.com/helloworld/2541696","AI 활용 3","이번 평가에서 가장 분명하게 확인한 것은, 채점 기준이 충분히 구체적이면 코드와 문서만 읽은 LLM도 사람의 판단에 가까운 결론에 도달할 수 있다는 점이었습니다."
"74","사업·브랜드","신뢰","리브랜딩, 회고","글로벌","","리브랜딩은 구성원 모두가 방향을 이해하고 체화하는 과정이었다","리브랜딩 비하인드 5편. 별책부록","강남언니","2026-07-04","https://blog.gangnamunni.com/post/rebranding-2026-5-behind","사업·브랜드 2, 협업·프로세스 1","리브랜딩은 결국 체화의 과정이라는 걸 모두 다시 한번 느꼈어요."
"75","사업·브랜드","신뢰","캠페인, 리브랜딩","광고","","리브랜딩 캠페인은 리브랜딩을 알리기보다 고객 맥락에 맞춘 메시지를 전하는 데 집중했다","리브랜딩 비하인드 4편. 캠페인","강남언니","2026-07-03","https://blog.gangnamunni.com/post/rebranding-2026-4-campaign","사업·브랜드 3","긴 고민 끝에 우리가 가장 먼저 한 일은, ‘리브랜딩이라는 단어를 덜어내자’는 결정이었습니다."
"77","사업·브랜드","신뢰","리브랜딩, 화면·흐름 설계","채용","","채용 브랜딩을 위해 당근의 일하는 방식을 재정의하고 채용 홈페이지를 새로 만들었다","낯설지만, 가장 당근다운 문법으로","당근","2026-07-03","https://careers.daangn.com/blog/post/behind-recruit-site-renewal/","사업·브랜드 3","좋은 채용 브랜딩이란, 그저 많은 사람에게 '일하고 싶은 기업'으로 비춰지는 게 본질은 아니라고 생각합니다."
"78","사업·브랜드","신뢰","리브랜딩, 화면·흐름 설계","콘텐츠, 글로벌","","브랜드 지향점 뷰티 내비게이터를 홈 리뉴얼 등 제품 전략으로 번역했다","리브랜딩 비하인드 3편. 제품","강남언니","2026-07-02","https://blog.gangnamunni.com/post/rebranding-2026-3-product","사업·브랜드 3","이 글에서는 앞서 정의한 브랜드 지향점을 제품 전략으로 번역한 과정과 시행착오, 그리고 앞으로 강남언니의 방향성에 대해 다룹니다."
"80","사업·브랜드","신뢰","리브랜딩","글로벌","","새 정체성에 맞춰 심볼·컬러·워드마크·비주얼 원칙을 정비했다","리브랜딩 비하인드 2편. 비주얼","강남언니","2026-07-01","https://blog.gangnamunni.com/post/rebranding-2026-2-visual","사업·브랜드 3","먼저, 심볼과 컬러는 계승하되 완성도를 높이고 새로운 메시지를 담는 방향이었습니다."
"82","사업·브랜드","신뢰","리브랜딩, 사업 전략","글로벌","","시장 변화와 글로벌 확장에 맞춰 브랜드 이름과 미션·비전을 다시 정의했다","리브랜딩 비하인드 1편. 정체성","강남언니","2026-06-30","https://blog.gangnamunni.com/post/rebranding-2026-1-BIS","사업·브랜드 3","각 국가에서 브랜드 인지가 본격적으로 형성되기 전인 지금이 기회였습니다."
"85","제품·서비스 기획","성장","MVP, 사용자 인터뷰","로컬, 신규 출시","","1인팀으로 레슨/과외 서비스를 시작해 PMF를 찾고 전국 오픈을 앞두게 됐다","혼자 시작해 전국 오픈까지, 당근 레슨/과외 빌딩 로그","당근","2026-06-29","https://medium.com/daangn/%ED%98%BC%EC%9E%90-%EC%8B%9C%EC%9E%91%ED%95%B4-%EC%A0%84%EA%B5%AD-%EC%98%A4%ED%94%88%EA%B9%8C%EC%A7%80-%EB%8B%B9%EA%B7%BC-%EB%A0%88%EC%8A%A8-%EA%B3%BC%EC%99%B8-%EB%B9%8C%EB%94%A9-%EB%A1%9C%EA%B7%B8-d4e61f6ba32f","제품·서비스 기획 3","저는 이 서비스를 1인팀으로 거의 아무것도 없는 상태에서 시작해, 1년 가까이 PMF를 찾으며 실험했어요."
"86","데이터·실험","전환","A/B 테스트, 가설 검증","커머스","","최소주문금액바 A/B 실험을 반복하며 메인 지표뿐 아니라 보조 지표로 다음 가설을 찾았다","한 번 성공하니 다음도 쉬울 줄 알았다: 최소주문금액바 4번의 A/B실험","배달의민족","2026-06-26","https://techblog.woowahan.com/26379/","데이터·실험 3","실험 가설 검증 여부를 판단하는 건 메인 지표지만, 보조 지표를 자세히 분석할수록 고객의 행동 패턴을 더 잘 이해할 수 있습니다."
"87","품질·위험 관리","품질","QA, 업무 자동화","사내 업무","","매주 배포되는 토스 앱의 품질 표준을 지키기 위해 QA 플랫폼과 도구를 직접 만들었다","누군가는 토스를 테스트하는 동안, 우리는 테스트하는 법을 만듭니다.","토스","2026-06-26","https://toss.tech/article/50893","품질·위험 관리 3","누구나 쉽게 테스트 케이스(Test Case)를 만들고, 빠르고 정확하게 테스트할 수 있어야 한다."
"94","제외","","","","","카카오와 삼성이 함께 연 AI 해커톤 행사가 성황리에 열렸고 다섯 개 팀이 수상했다.","개발을 넘어 AI로 사회문제를 해결하다","카카오","2026-06-24","https://tech.kakao.com/posts/825","제외 3","행사에는 카카오테크 부트캠프와 SSAFY 교육생 가운데 사전 예선을 통과한 총 12개 팀, 약 90명의 참가자가 참여했습니다."
"97","협업·프로세스","효율화","문서화, 정책 설계","사내 업무","LLM","문서화 도구와 자동화만으로는 부족하고 지식 관리 기준과 거버넌스가 필요하다","6. 도구를 넘어, 기준과 책임으로","토스","2026-06-23","https://toss.tech/article/technical-writing-6","협업·프로세스 3","무엇을 남길지, 누가 책임질지, 어떤 문서를 믿을지 함께 정하는 기준과 문화가 없으면 도구는 금방 헛돌았습니다."
"98","AI 활용","효율화","업무 자동화, 문서화","사내 업무","LLM","TW가 글쓰기·리뷰 업무를 AI Skill과 챗봇·리뷰 봇으로 넘겨 문서화를 자동화했다","5. Technical Writer, 사라질 결심","토스","2026-06-23","https://toss.tech/article/technical-writing-5","AI 활용 3","그래서 직접 글을 쓰고 다듬던 일은 이렇게 AI에게 넘겼고요."
"101","협업·프로세스","효율화","문서화, 운영 개선","사내 업무","","조직 문서화는 지식을 한곳에 모으고 사람이 애쓰지 않아도 흐르는 구조로 풀어야 한다","4. 우리 팀의 문서화는 왜 실패할까? (2)","토스","2026-06-22","https://toss.tech/article/technical-writing-4","협업·프로세스 3","흩어진 지식을 한곳에 모으고, 조직이 지금 어느 상태인지 진단하고, 그리고 사람이 애쓰지 않아도 지식이 모이고 흐르는 구조를 만드는 것이죠."
"102","협업·프로세스","효율화","문서화, 사용자 인터뷰","사내 업무","","문서화가 실패하는 이유는 의지가 아니라 개인의 결심에 기대는 구조 때문이다","3. 우리 팀의 문서화는 왜 실패할까? (1)","토스","2026-06-22","https://toss.tech/article/technical-writing-3","협업·프로세스 3","지금까지 두 분이 해주신 이야기를 정리하면, 문서화가 늘 실패하는 이유는 의지가 부족해서가 아니었습니다."
"103","AI 활용","효율화","해커톤, 바이브코딩","사내 업무","LLM","디자이너들은 AI로 기존 업무를 더 빠르고 완성도 높게 만드는 데 활용했다","디자이너에게 AI로 뭐든 만들어보라고 한다면","토스","2026-06-19","https://toss.tech/article/ai_contest","AI 활용 3","디자이너들은 AI로 완전히 새로운 일을 하기보다, 이미 하고 있는 일을 더 빠르게, 더 설득력 있게, 더 높은 완성도로 만드는 데 AI를 활용하고 있었어요."
"105","제품·서비스 기획","효율화","문서화, 업무 자동화","사내 업무, 신규 출시","LLM","TW의 전문성을 담은 사내 문서 플랫폼 토독을 새로 만들어 조직 지식의 단일 원천으로 키웠다","2. 전문성 밖으로 나아가기","토스","2026-06-19","https://toss.tech/article/technical-writing-2","제품·서비스 기획 3","오랜 고민 끝에 작년 10월, 사내 문서 플랫폼 토독(todoc)을 런칭했어요."
"106","협업·프로세스","효율화","문서화, 조직 설계","사내 업무","","TW는 문서를 쓰는 사람에서 조직의 지식 시스템을 설계하는 직무로 일을 넓혔다","1. 세상에 없던 직무를 만들어가기","토스","2026-06-19","https://toss.tech/article/technical-writing-1","협업·프로세스 3","정해진 직무를 수행한 게 아니라, 풀어야 할 문제를 따라가다 직무를 새로 그린 거죠."
"109","AI 활용","효율화","바이브코딩, 업무 자동화","사내 업무","LLM","디자이너가 매일 하던 할 일 정리를 AI 위젯으로 자동화해 일하는 방식을 바꿨다","매일 하던 업무를 디자인하기","토스","2026-06-17","https://toss.tech/article/todolist","AI 활용 3","지금은 그 일을 AI가 대신 해주니까, 저는 무엇부터 해야 하는지만 고민하면 돼요."
"110","AI 활용","이탈","화면·흐름 설계, 가설 검증","고객센터","LLM","AI로 시나리오 초안과 프로토타입 검증을 함께 돌려 챗봇 설계 순서를 바꿨다","AI로 바꾼 제품 설계의 순서","토스","2026-06-17","https://toss.tech/article/chatbot","AI 활용 3","AI가 바꾼 것은 단순한 생산성이 아니라 제품을 설계하는 순서였어요."
"111","AI 활용","효율화","사업 전략, 업무 자동화","커머스, 물류·배송","에이전트, LLM","Amazon은 에이전틱 AI로 고객 경험·셀러 지원·공급망 운영을 재설계하고 있다","[AWS Summit Seoul 2026] Amazon’s AI Strategy로 본 에이전틱 AI 전환","NDS Cloud","2026-06-17","https://tech.cloud.nongshim.co.kr/blog/aws/ai/4129/","AI 활용 3","이 세션은 Amazon이 AI를 단순한 기술 트렌드가 아니라, 고객 경험과 내부 운영 프로세스를 재설계하는 핵심 전략으로 바라보고 있음을 보여준 세션이었습니다."
"113","사용자 이해·경험","접근성","디자인 시스템, 화면·흐름 설계","모바일","","SEED V3는 접근성 중심으로 기존 디자인 시스템을 개편해 화면을 더 당근답고 읽기 쉽게 만들었다","더 당근답게: SEED는 어떻게 진화했나","당근","2026-06-16","https://seed-design.io/updates/how-seed-evolved","사용자 이해·경험 3","그래서 V3는 단순한 버전 업이 아니라, 이 구조적 약점을 정면으로 다시 세운 대규모 개편이었어요."
"115","AI 활용","효율화","바이브코딩, 화면·흐름 설계","모바일","","디자이너가 AI와 코드로 동작하는 시안을 만들어 디자인-개발 전달 방식을 바꿨다","디자이너가 시안 대신 앱을 만든 이유","토스","2026-06-16","https://toss.tech/article/deadend","AI 활용 3","디자인 과정에서 AI를 쓰며 달라진 것 중 하나는, 디자이너가 직접 동작하는 시안을 만들 수 있게 되었다는 점이에요."
"116","데이터·실험","성장","유저 세그먼트, 데이터 분석","금융","","플랫폼 관점 유저 세그먼트 TUES로 유저를 이해하고 전략·분석에 활용한다","2,800만 MAU를 이해하는 유저 Segmentation, TUES","토스","2026-06-16","https://toss.tech/article/tues","데이터·실험 3","결과적으로 TUES는 각 유저가 어떤 유저인지, 우리 앱의 어떤 서비스를 좋아하고 주로 이용하는지를 바로 파악할 수 있는 도구의 역할을 합니다."
"117","AI 활용","효율화","바이브코딩, 업무 자동화","사내 업무","에이전트","비개발자가 AI 에이전트와 일하며 자기 업무를 실행 가능한 형태로 구조화하게 됐다","Vibe Coding하는 비개발자는 개발자인가(3)","카카오","2026-06-16","https://tech.kakao.com/posts/823","AI 활용 3","AI가 만들어주는 결과물보다, AI와 함께 일하기 위해 제 업무를 어떤 형태로 설명해야 하는지가 더 중요해지고 있습니다."
"121","AI 활용","효율화","디자인 시스템, 문서화","사내 업무","","AI 시대의 디자인 시스템은 컴포넌트보다 판단 맥락을 구조화해 결정 피로를 줄여야 한다","디자인 시스템 팀은 디자인 시스템만 잘 만들면 될까","당근","2026-06-11","https://medium.com/daangn/%EB%94%94%EC%9E%90%EC%9D%B8%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%8C%80%EC%9D%80-%EB%94%94%EC%9E%90%EC%9D%B8%EC%8B%9C%EC%8A%A4%ED%85%9C%EB%A7%8C-%EC%9E%98-%EB%A7%8C%EB%93%A4%EB%A9%B4-%EB%90%A0%EA%B9%8C-4f6f2478a8db","AI 활용 3","그래서 AI 시대에는 디자인시스템이 오히려 더 중요해진다고 생각해요."
"124","품질·위험 관리","품질","장애 대응, 운영 개선","B2B, 금융","","TAM은 장애와 운영 문제를 구조화·자동화해 같은 문제가 반복되지 않게 만든다","빠르게 움직이는 조직에서, TAM은 어떻게 문제를 해결할까?","토스","2026-06-09","https://toss.tech/article/tam-connect-2025","품질·위험 관리 2, 협업·프로세스 1","TAM의 역할은 결국 ‘문제를 해결하는 것’이지만, 더 중요한 건 같은 문제가 반복되지 않게 만드는 일이기도 하니까요."
"127","제외","","","","","사내 행사에서 발표된 AI국민비서 에이전트 구축 세션 영상을 공개한다는 안내다.","AI국민비서: 공공 특화 에이전트 구축하기","네이버 D2","2026-06-08","https://d2.naver.com/helloworld/6647064","제외 3","네이버 사내 기술 교류 행사인 NAVER ENGINEERING DAY 2026(5월)에서 발표되었던 세션을 공개합니다."
"128","제품·서비스 기획","성장","사업 전략, MVP","커머스, 로컬","","당근은 지역 특색 상품과 판매자-구매자 관계를 중심으로 새로운 로컬 커머스를 만들고 있다","당근이 그리는 로컬 커머스 경험은 뭐가 다를까?","당근","2026-06-05","https://careers.daangn.com/blog/post/interview-commerce-team/","제품·서비스 기획 3","그래서 판매는 전국으로 열되, 지역 특색을 살린 상품으로 채워가는 방향을 잡았어요."
"129","제외","","","","","사내 행사에서 발표된 비개발자의 풀스택 개발 경험 세션 영상을 공개한다는 안내다.","비개발자가 한 달 동안 풀스택으로 개발하면서 배운 것","네이버 D2","2026-06-04","https://d2.naver.com/helloworld/0107009","제외 3","네이버 사내 기술 교류 행사인 NAVER Engineering Day 2026(5월)에서 발표되었던 세션을 공개합니다."
"132","AI 활용","효율화","업무 자동화, 조직 설계","사내 업무","에이전트","AX 전환의 성패는 AI에게 일을 맡기고 사람의 역할을 바꾸는 데 달려 있다","[AWS Summit Seoul 2026] 에이전트의 진화","NDS Cloud","2026-06-02","https://tech.cloud.nongshim.co.kr/blog/aws/3921/","AI 활용 3","즉, AX 전환의 성패는 AI에게 무엇을 보조시키느냐가 아니라, 무엇을 맡기고 사람이 어떤 새로운 역할을 가져가느냐에서 갈립니다."
"133","품질·위험 관리","신뢰","리스크 관리, AI 평가","B2B","에이전트","AI 에이전트는 책임지지 않으므로 하네스 엔지니어링으로 권한·승인·검증 가드레일을 설계해야 한다","[AWS Summit Seoul 2026] 책임감 없는 AI에이전트, 주인은 누구인가","NDS Cloud","2026-05-29","https://tech.cloud.nongshim.co.kr/blog/aws/3891/","품질·위험 관리 3","AI는 실행되지만, 책임지지 않습니다."
"142","AI 활용","효율화","업무 자동화, 문서화","사내 업무","LLM","LLM으로 배포 내역을 누구나 읽을 수 있는 릴리즈 노트로 자동화해 팀 커뮤니케이션 비용을 줄였다","누구나 찾아볼 수 있는 중고거래 서버 LLM 릴리즈 노트 도입기","당근","2026-05-14","https://medium.com/daangn/%EB%88%84%EA%B5%AC%EB%82%98-%EC%B0%BE%EC%95%84%EB%B3%BC-%EC%88%98-%EC%9E%88%EB%8A%94-%EC%A4%91%EA%B3%A0%EA%B1%B0%EB%9E%98-%EC%84%9C%EB%B2%84-llm-%EB%A6%B4%EB%A6%AC%EC%A6%88-%EB%85%B8%ED%8A%B8-%EB%8F%84%EC%9E%85%EA%B8%B0-93afe203d766","AI 활용 3","이 글은 그 비효율을 LLM과 이미 쓰고 있던 도구들로 풀어낸 이야기예요."
"143","사용자 이해·경험","사용성","현장 관찰, 사용자 인터뷰","채용, 로컬","LLM","사용자를 직접 만나고 빠르게 만들어 확인해야 진짜 문제와 답에 가까워진다","어느 1년 차 신입 프로덕트 디자이너의 고백","당근","2026-05-13","https://careers.daangn.com/blog/post/당근-신입-프로덕트-디자이너-인턴/","사용자 이해·경험 3","지금의 저에게 좋은 디자이너는 머릿속에 완벽한 답을 들고 있는 사람이 아니라, 사용자의 답을 듣기 위해 빠르게 만들고 직접 확인하러 가는 사람이에요."
"145","AI 활용","효율화","조직 설계, 교육","사내 업무","","전사 AX는 비용·권한 결정과 가드레일, 팀별 준전문가로 AI 활용 문화를 바꾸는 일이다","AX의 어려움은 전직원이 AI를 쓰고난 이후부터 진짜 시작된다","강남언니","2026-05-06","https://blog.gangnamunni.com/post/ax-voyage-2026","AI 활용 3","AX는 결국 비용과 권한을 고민하고 결정하고, 결과적으로 문화를 바꿔가는 일입니다."
"149","제품·서비스 기획","사용성","화면·흐름 설계, 운영 개선","오프라인 매장, 커머스","","메가스토어 성수는 네 가지 기술을 보이지 않게 엮어 매끄러운 오프라인 경험을 설계했다","무신사 메가스토어 성수: 보이지 않는 기술, 선명해지는 경험","무신사","2026-05-04","https://techblog.musinsa.com/%EB%AC%B4%EC%8B%A0%EC%82%AC-%EB%A9%94%EA%B0%80%EC%8A%A4%ED%86%A0%EC%96%B4-%EC%84%B1%EC%88%98-%EB%B3%B4%EC%9D%B4%EC%A7%80-%EC%95%8A%EB%8A%94-%EA%B8%B0%EC%88%A0-%EC%84%A0%EB%AA%85%ED%95%B4%EC%A7%80%EB%8A%94-%EA%B2%BD%ED%97%98-a1976d599e83","제품·서비스 기획 3","지난 4월 24일, 무신사 메가스토어 성수가 문을 열었습니다."
"150","AI 활용","효율화","디자인 시스템, 바이브코딩","사내 업무","에이전트, LLM","Kraft는 디자인 시스템의 결정을 자동화해 AI로 당근스러운 화면을 만드는 도구로 진화했다","프롬프트 한 줄로 화면이 나오는 시대, ‘당근스러운 화면’을 만드는 법","당근","2026-04-30","https://medium.com/daangn/%ED%94%84%EB%A1%AC%ED%94%84%ED%8A%B8-%ED%95%9C-%EC%A4%84%EB%A1%9C-%ED%99%94%EB%A9%B4%EC%9D%B4-%EB%82%98%EC%98%A4%EB%8A%94-%EC%8B%9C%EB%8C%80-%EB%8B%B9%EA%B7%BC%EC%8A%A4%EB%9F%AC%EC%9A%B4-%ED%99%94%EB%A9%B4%EC%9D%84-%EB%A7%8C%EB%93%9C%EB%8A%94-%EB%B2%95-0bc268f819c7","AI 활용 3","결국 핵심은 픽셀을 그리는 게 아니라, 디자인 시스템이 요구하는 결정들을 자동화하는 것이었어요."
"151","AI 활용","효율화","업무 자동화, 바이브코딩","사내 업무, 알림","","비개발자 인턴이 클로드와 대화하듯 코딩해 사내 회의봇을 만들고 전사에 정착시켰다","비개발자로 회의봇 만들기는 처음이라","당근","2026-04-30","https://careers.daangn.com/blog/post/당근-인턴-회의봇-당번이-비개발자-ai/","AI 활용 3","이렇게 개발 경험 없이 도전한 저는 클로드와 함께 코드 첫 줄을 쓰기 시작해, 2주 만에 알파 버전을 배포할 수 있었어요."
"154","AI 활용","품질","AI 평가, 운영 개선","채용","LLM","AI 머신이 만든 채용 점수와 면접 가이드만으로는 부족하고, 결국 사람의 판단이 결과를 가른다","The Human: 점수 너머의 판단","무신사","2026-04-23","https://techblog.musinsa.com/the-human-%EC%A0%90%EC%88%98-%EB%84%88%EB%A8%B8%EC%9D%98-%ED%8C%90%EB%8B%A8-bccc190c9c93","AI 활용 3","도구가 강력해질수록, 도구를 쓰는 사람의 판단이 결과를 가릅니다."
"159","AI 활용","효율화","업무 자동화, 회고","사내 업무","LLM","클로드 코드로 브리핑·라운드테이블·공통 규칙 구조를 만들어 개발 팀장의 하루를 재설계했다","클로드 코드로 개발 팀장의 하루를 재설계한 이야기","컬리","2026-04-19","https://helloworld.kurly.com/blog/claude-code-redesign-my-day/","AI 활용 3","제 경우엔 AI 도구 도입이 생산성 N% 향상의 문제가 아니었습니다."
